CIN,PIN,sex,pref.active,pref.warm,pref.reliable,pref.emo.unstable,pref.cultured,pref.unenergetic,pref.unagreeable,pref.conscientious,pref.insecure,pref.knowledgeable,pref.submissive,pref.lenient,pref.careful,pref.nervous,pref.intelligent,pref.bold,pref.stubborn,pref.well.organized,pref.relaxed,pref.imperceptive,pref.independent,pref.suspicious,pref.lazy,pref.temperamental,pref.creative,pref.humble,pref.fair,pref.untraditional,pref.unemotional,pref.complex,pref.talkative,pref.selfish,pref.conservative,pref.jealous,pref.uncurious,pref.retiring,pref.generous,pref.impractical,pref.objective,pref.unanalytical,active.comp,warm.comp,reliable.comp,emo.unstable.comp,cultured.comp,unenergetic.comp,unagreeable.comp,conscientious.comp,insecure.comp,knowledgeable.comp,submissive.comp,lenient.comp,careful.comp,nervous.comp,intelligent.comp,bold.comp,stubborn.comp,well.organized.comp,relaxed.comp,imperceptive.comp,independent.comp,suspicious.comp,lazy.comp,temperamental.comp,creative.comp,humble.comp,fair.comp,untraditional.comp,unemotional.comp,complex.comp,talkative.comp,selfish.comp,conservative.comp,jealous.comp,uncurious.comp,retiring.comp,generous.comp,impractical.comp,objective.comp,unanalytical.comp
13,25,1,3,7,7,2,6,2,3,7,5,6,4,3,6,3,6,4,5,6,3,3,3,5,6,4,7,5,5,6,3,4,5,6,5,3,4,5,4,5,3,3,5,6.25,6.5,6.5,5.75,6,5.5,5.75,5,5,4,4,5.5,4.25,5.25,4,5,5.5,4.25,5.25,5,5.75,6,5.75,5.25,4.25,5.75,6,3.25,3.75,4.25,5.5,4,4.75,4.75,4.75,6,5.25,4,4.25
14,27,1,7,7,6,6,6,7,4,6,6,7,4,4,4,7,7,7,7,6,6,6,6,6,7,6,6,6,7,4,3,4,6,6,1,7,7,7,5,5,5,4,5.25,5.75,5.5,4.5,5.5,5.75,5.25,5.25,5,5.5,5.25,3.5,5,4.5,6,4.75,4.5,4.5,4.25,5.25,4.5,3.75,5.5,5,3.75,4.75,5.5,4.25,3,5.75,5.5,4.25,4,4.25,5.75,5.25,5.25,5,3,4.5
15,29,1,5,6,6,6,4,5,5,6,4,5,3,4,6,5,6,4,5,7,5,6,4,5,6,6,6,6,7,4,3,5,3,5,3,4,5,5,3,5,5,5,3.25,4.5,5.25,5.5,3.5,3.75,3.75,5,4.25,4.5,3.25,4.25,4.25,2.75,4.75,3,4,3.75,3.25,4.5,3.25,4,4.25,4.25,4.75,3.75,5,5.25,4.5,3.5,1.75,3.75,3.75,4.25,4.5,2.5,4.75,5,4,3.5
16,31,1,6,6,6,6,6,6,4,6,6,6,4,6,6,6,6,4,6,6,6,6,5,2,6,6,6,4,6,2,2,5,5,6,2,4,6,6,6,6,4,6,6.5,6.5,5.75,5,3.25,6,5.5,5.75,6,5.25,5.5,3.5,5,6.5,5.75,6,4.75,5.5,5.25,4.75,5.25,5.666666667,6.25,4,4,4.25,5.5,4.75,2.25,3.75,6.25,4.25,1.75,4.75,5.75,6.75,5.25,4.75,3,4.5
17,33,1,6,7,6,2,6,5,6,7,7,7,4,5,6,7,7,6,7,7,7,6,6,7,7,6,7,1,7,2,4,7,4,7,4,6,6,7,7,4,5,4,5.75,6,5.75,6,5,5.5,6,5.75,5.5,5.25,4.75,5.5,5.25,5.75,5.25,4.25,5,4.75,6.75,5.5,4,5.25,4.5,4.75,5.25,4.75,5.5,3,3.5,4,4.75,4.75,2.5,5.5,5.5,5.25,5.75,4.25,5.25,5.25
18,35,1,5,6,6,6,4,6,4,6,5,6,4,3,5,5,6,5,5,5,5,5,6,4,6,6,5,5,6,3,4,5,4,3,2,6,6,3,5,6,4,5,2.75,3.5,5.75,4.75,3.75,4.25,4.5,5.25,4,5.5,4.25,2.5,5.25,2.75,5.5,2.75,3.25,4,3.75,4.5,5.5,4.25,5.75,5,4,4,5,4,4.5,5.25,3,3.25,3.5,4.5,4,3,3.5,5.75,5,5.5
19,37,1,6,7,6,6,6,6,7,7,6,6,1,4,6,6,7,4,6,6,7,7,4,4,7,6,7,4,7,2,1,5,6,7,7,7,5,5,7,6,2,2,5,5.5,6,6,5,5.5,5.5,6.25,6,5.5,3.5,3,4.5,5,5.25,5.25,4.75,5,4.75,6,3.75,5.75,5,4,5.5,3.25,6,6.75,3.25,3.5,5,5.5,7,6.25,4.666666667,5,5.75,6.25,3.75,4.5
20,39,1,4,6,6,6,5,4,4,6,4,5,4,3,5,5,6,4,5,5,6,6,4,5,6,6,6,5,6,4,3,6,3,6,3,4,4,4,5,5,3,5,6.25,5.75,4,3.25,3.75,5.75,5,4,3,4.75,4.5,4.25,3.75,4.75,4.5,5.25,4,2.75,3.5,4,4.25,6,3.5,2.75,3.5,3.25,4.5,4.75,2.5,3.25,6.75,3,3.25,4.25,5,6.5,6,2.25,3.25,2.5
21,41,1,7,7,7,5,4,6,6,6,4,6,1,6,6,7,7,4,7,4,6,6,1,7,6,7,4,4,7,5,3,1,2,7,4,7,7,5,6,6,6,6,5,5,5,4.75,3.75,4.75,4.5,4.5,5,4.5,5,3.5,4,5.25,4.75,4.75,3.75,3.75,5.5,4.75,5,5.5,5,3.75,4,4.75,5,4.75,3.25,4.25,5,4.75,5.25,4,2.75,5,5.75,4.5,4,4.5
22,43,1,6,6,6,6,5,6,5,5,6,7,5,4,5,5,7,5,7,5,5,6,6,6,6,5,6,5,6,4,3,4,5,4,1,7,6,6,5,5,4,3,6,5.75,5.25,4.75,5.75,6,5.25,5.25,4.75,5.75,5,4.25,5,4.75,6.25,5,5.25,4.25,4,6,6.25,4.75,5.5,3.5,6,4,5.5,2.75,2.25,5.75,5.5,4.75,1.75,4.5,5.5,5.75,5,4.75,3.75,5.25
23,45,1,7,7,7,5,5,6,4,7,5,6,4,2,2,6,7,6,4,6,7,6,7,7,7,3,7,2,7,3,1,2,5,7,1,7,7,6,6,4,7,4,6,5.75,6.25,4.5,5,5.75,4.25,5.75,3.75,5.5,5,3,6,4.75,5.75,5.25,4.75,4.5,3.75,5.25,5.75,5.75,6,4.75,5.75,5,6.25,4,2.75,4.25,5.5,3.5,3,5.5,5.25,5.5,4.5,5.75,4.75,4
24,47,1,5,6,6,6,5,6,6,6,5,5,4,4,5,4,6,5,5,6,5,6,6,4,6,6,6,4,5,3,3,5,4,4,3,4,6,6,5,5,4,5,5,5.75,5.75,5,5.75,5.5,5.5,6,4.75,5.5,4.75,4.5,5,5.5,6,4.5,4.75,4.5,5.25,5.25,5,5.5,5.25,5.75,5.5,3.75,5,5.5,3.5,4.25,4.75,5.5,4,5.25,4.75,5.5,6,5.5,5.25,3.75
25,49,1,4,4,6,6,5,6,5,5,5,5,4,3,5,5,6,5,4,6,5,6,3,6,5,6,5,4,6,5,3,5,4,4,5,5,5,5,5,6,3,4,5,5.5,5.5,4.5,4.75,5.5,5.5,5.5,4.75,4.5,4.25,4.25,5.5,4.25,4.5,4.5,4.25,4.5,3.75,4,3.5,5.75,5.75,4.75,4.5,4.75,6,6.25,2.25,3.25,5,4.25,4.25,4,4.5,4,5.5,4.75,3.75,3.5
26,51,1,7,7,7,7,5,7,5,7,6,7,4,5,6,7,7,5,7,7,7,7,7,7,5,7,7,5,7,4,4,5,5,5,1,7,5,7,7,7,1,4,5,4.5,4.5,5.75,5.5,5,5,5,6,6.25,5.25,4.75,4.5,6.5,6.5,5.25,5,4.25,5.25,5.5,6.5,4,5,5.25,5.5,5.25,5.5,3,3.25,4.75,4,4,1.5,5.25,6.75,5.5,4.75,4.5,3.5,5
27,53,1,6,6,6,6,5,6,4,6,6,5,4,4,5,6,5,4,4,5,5,7,5,6,6,6,6,5,5,5,3,5,5,6,4,6,6,6,3,5,4,5,4.75,6,6.25,6.5,5.5,6.5,6.25,6.25,6.5,6,5.25,3.25,5.5,6,5,4.75,5,5.25,4.75,6.25,5.25,4.75,6.25,4.25,4.5,3.5,5.75,5.5,2,4,5,4,4,3.25,5,6.25,4.25,5.75,5.5,5.25
28,55,1,6,6,7,7,6,6,6,6,7,7,4,3,6,6,6,5,6,6,6,6,5,7,6,6,5,5,6,5,3,4,5,6,4,7,6,6,6,6,6,6,5,5.75,5,6.25,5.25,4.25,5.75,6,5.75,6,5.25,4,5.25,5.75,5.75,4.75,5,5.25,5,5.75,5.5,5.75,5.75,5.75,5.25,5.25,6.5,5.25,2.5,4.75,5.75,3.75,4.25,5,5.25,5.75,5.75,5,4.75,5.5
29,57,1,7,7,7,7,6,7,7,7,7,7,4,7,7,7,7,4,4,7,7,NA,7,NA,7,7,7,7,7,4,4,4,3,4,4,4,7,7,7,7,4,4,5.25,6,5.75,5.5,5.25,5.75,6.5,6.25,5.75,6,4.5,4.25,5.25,4.5,6.5,5.25,4,4,4.75,5.25,6.5,4.75,5.75,5.75,5.75,4.5,5.75,3.25,2,5.25,5,4.75,3,3.75,6.25,4.75,5.75,5.25,3.75,6.25
30,59,1,4,5,6,6,6,5,5,6,5,6,4,5,6,4,6,3,4,6,5,5,5,5,4,5,5,4,5,4,4,5,5,3,4,4,5,5,5,6,4,6,4.25,5,4.5,3.5,4.5,2.5,4.25,4.5,2.75,5.25,4.25,3,4.5,3.75,6.25,4,3.75,3.25,4,4.25,4.25,3,4,3.75,4.75,3.75,4.75,3.5,3.75,4.5,4,3,2.5,4.25,3.75,3.25,4.5,3.75,4.5,5
31,61,1,7,7,7,5,5,7,5,6,5,6,4,3,5,4,5,6,4,5,5,5,5,6,6,5,4,5,6,5,3,5,6,5,3,4,5,6,5,5,5,5,6,4.25,4.5,3.5,5.25,5.75,3.5,6,4.5,5.25,5.75,2,5.25,4,5.25,5.5,1.5,4.75,3.5,5.75,5,4,4.5,2.5,5,5.5,5.25,6.5,2.75,3.75,5.5,3,5.5,2.25,5,4.75,5.25,5.25,4,5
32,63,1,5,6,7,7,5,6,6,7,7,7,4,3,6,6,6,5,6,6,6,6,5,4,6,6,6,5,6,5,3,4,5,5,6,6,6,6,5,6,5,5,4.25,5,6.25,5.5,4.25,5,5.75,6,4.75,4.5,3.75,3.25,6,4,4.5,4,4.5,5.25,4.75,4.75,5.25,4.75,5.25,4.75,5.5,4,5.5,6.5,3.25,2.75,3.75,4.75,6.5,5.75,5.25,4.25,5.25,4.25,4.25,5
33,65,1,5,5,5,6,4,5,5,5,6,5,4,5,5,6,6,4,5,5,5,6,6,5,4,5,5,5,5,2,3,5,4,4,3,6,5,5,5,5,3,5,4.5,5.5,5.25,6.25,6,4.5,5.75,5.25,6,6.25,4,4.5,4.5,6,6.25,4.25,4.5,4.25,6.25,5,6.5,6,3.25,5.25,4.25,4.75,5.25,2.25,3.25,4,3.75,4.25,1.5,6.5,5.75,4.75,5,5.25,4.25,4.75
34,67,1,7,7,7,4,6,6,6,6,5,7,2,4,4,7,7,7,4,7,4,5,7,7,6,5,6,5,6,4,3,5,4,4,4,2,5,6,5,4,4,4,5.5,5.75,5.5,4.75,4.5,5.25,5.25,5.5,4,5,4.75,4.5,5.5,4.5,5.5,5,5.5,4.75,4,5.5,4.75,5.25,5.25,4.25,4.75,4.5,5.25,5,3.25,4.25,5,4.5,4,3.5,5,5.25,5,4.5,4,3.75
35,69,1,5,6,7,7,6,4,6,6,6,6,3,4,6,7,5,4,6,6,6,6,5,7,6,7,4,6,6,4,3,4,5,4,5,4,4,5,5,6,5,5,6.5,6.25,5,5,4.5,6.75,5,5,4.25,4.5,4.5,3.25,5,3.75,4.25,5.25,3.75,4.75,2.5,4.25,4.5,5.75,5.75,2.75,6,4.75,5.25,5.5,2.5,4,6,3,3.5,2.75,5.75,6.25,5,4.25,3.5,4
36,71,1,5,6,7,5,5,5,4,6,4,5,4,4,5,5,5,5,6,5,5,5,4,6,4,5,4,5,5,4,4,3,4,4,3,5,5,4,5,6,6,5,4,4.75,6,6.5,5.5,4.5,6.25,5,7,6,4.5,4,6,6,5,4.25,5.75,5.5,6.25,4.5,6.5,5,5.75,6.25,5,5,6,2.5,4.25,3,4.75,4.75,1.75,6.25,5.75,4.75,5.5,6.5,6,6.5
37,73,1,6,6,6,6,6,6,6,6,6,7,4,3,5,6,6,4,5,5,4,6,4,5,5,5,5,5,6,6,2,3,4,6,4,4,5,6,6,6,5,5,5.25,5.75,5,5.75,5.25,5.75,6,5,6.25,6.25,4.75,4.25,4.5,5.25,6,4.5,5,5.25,5.5,5,5.75,5.75,5.25,6,5.25,5,5.75,6.25,3,4.25,4.25,5.25,5.75,3.5,5,4.75,5.5,4.25,4.75,4.5
38,75,1,6,7,6,6,5,6,5,5,6,6,5,5,6,6,6,5,5,5,5,6,5,7,6,5,6,5,6,4,3,5,4,6,3,3,6,5,6,6,5,6,5.25,5.25,5.25,5.25,4.5,3.5,5.25,5.25,5.25,5,4,3.75,5,4.25,5.25,4.5,4.5,5.25,4.75,5.25,4,4.75,4.5,4.25,4.75,4,5.25,4.75,3.25,4.5,4.5,4.25,4,4.25,5.75,4.75,4.5,5.25,4.25,4.75
39,77,1,5,6,7,7,5,5,7,6,6,6,2,6,6,6,6,5,7,5,6,5,6,7,6,6,5,5,7,5,4,2,5,4,4,3,3,NA,3,6,4,5,5.75,5.25,5.5,5.25,4.5,4.75,5,6,5.75,5,5,3.5,5.25,4.75,5,4.75,3.75,5,4.5,4.5,5.5,4,4.5,4.25,4.25,5.5,4.5,5.25,3.25,4.5,5.5,3.5,3.5,5,4.75,5.75,4.25,5.5,3.75,5
40,79,1,5,6,7,7,5,6,6,6,6,6,3,3,6,5,6,6,4,6,5,5,4,6,7,6,5,5,7,4,3,5,5,5,3,5,5,6,6,6,5,5,6.5,6.5,6.5,6,5.25,6.25,6.25,5.75,6,5.75,4.25,5.5,5,5.5,5.75,4.75,5.25,5,5,5.25,5.25,5.25,6,5.25,5,4.25,5.75,5,3,3.75,4.75,4.5,4.25,5.5,5.5,5.75,5.25,6,5.75,4.75
41,81,1,6,6,7,6,5,6,4,6,6,6,4,5,5,6,6,5,5,5,5,5,6,6,6,6,6,6,6,5,3,5,5,5,7,5,5,6,4,6,5,4,6,6.5,6.5,5.5,5.5,6.25,5.75,6.25,6,6,3.75,4.5,5.75,5.5,5.75,4.25,6.25,6,5.75,5.5,5,6,5.75,5.25,5.75,4.5,6.25,5.75,3.5,3,5.25,6,5,5.75,6.25,6,6,5.75,4,4.25
42,83,1,5,7,6,6,5,6,4,7,6,6,4,4,5,6,5,5,5,5,6,6,5,6,6,6,6,6,7,6,3,4,5,5,3,4,6,6,6,6,6,6,5.25,5.75,5.5,4.25,5.75,3.5,4.5,6,4.75,6,4,3.5,5,6.25,6.5,5.25,4.5,4.75,4.5,6.25,5,6,6,5.5,6,4.5,6,3.75,2.5,4.25,4.75,4.75,4.25,5.75,6,5.5,5.5,4.75,4,5.75
43,85,1,6,6,7,3,4,6,6,5,6,6,4,6,6,6,5,4,7,5,6,6,4,7,6,5,5,6,7,5,4,5,6,6,4,5,6,6,6,6,6,4,5.25,5.75,6.25,6,4.5,5.25,4.75,5.75,5.75,5.25,4.75,4.25,5.75,5.75,5,5,4.25,5.5,4.75,5,4.5,5.25,6.25,5,4.75,5,5.5,4,3.5,4.25,5.25,3.5,3.5,4.5,4.75,5.75,5,6,5.25,4.75
44,87,1,6,6,6,6,5,6,5,6,6,6,3,6,6,6,6,5,5,7,7,6,5,2,6,6,4,6,6,3,3,5,6,6,3,4,6,6,5,6,3,4,6,6,5.25,5.5,6,6.25,5.25,5.75,5.75,5.75,4.5,4.5,3.75,5.75,5.25,5,4.25,5,4.75,5.5,4.75,4.75,5.5,5,5,5.5,5.25,5.75,3.5,4.75,6,4.5,4.75,3.25,6,6.25,5,4.5,4.25,3.75
45,89,1,5,6,7,6,6,5,6,6,6,6,4,5,6,6,6,5,6,6,6,7,6,7,6,6,7,4,7,4,2,6,5,5,4,7,6,6,6,6,4,4,6,5,4.75,4.5,5.25,4.75,3,5.5,4.5,5.75,4.5,3.25,4.25,5,5.25,5.25,4,5,4,6.25,6.25,3.75,3.75,5.25,6.75,5,5.25,1.5,3.5,4.25,5,3.25,2.5,5.75,6.25,3.5,4,4,2.5,4
46,91,1,6,7,7,5,4,6,5,6,6,6,6,3,5,6,6,7,5,5,5,6,6,6,6,5,6,3,6,3,3,4,4,5,3,4,6,5,5,4,4,4,6.25,6.25,6.5,5.25,5.75,5.75,6,5.75,4.5,6,5,3.75,4.75,5.25,6.25,5,4.5,4.75,4.75,5,4.75,5.25,5.25,4.75,5.25,4.5,5.25,3.25,2.25,4.5,6,4.25,2.25,5.75,6,6.25,5.25,5,3.25,4.75
47,93,1,6,7,6,1,6,7,7,2,5,6,2,5,5,5,6,2,6,7,7,NA,4,NA,3,3,6,2,6,4,6,NA,3,3,7,5,3,4,6,6,2,3,5.25,6,5.5,4,4.25,4,5,4.75,5.25,4.5,4.75,4.5,5.25,5.5,4.75,3.25,4.75,5,3.75,4.25,4.5,5.75,4.75,4.25,5.5,4,5.25,4.75,3.25,2.75,4.5,4,4.75,5,3.75,5.25,5,4,3.5,4.25
48,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,2,4,6,4,4,5,5,5,5,5,4,4,4.5,5.5,5.5,5.75,5.25,5.5,5.75,5.75,5.75,5.5,4.25,4.25,5.5,5.75,5.5,5,5,5,6,5,4.25,5.5,5.5,5.75,5.25,4,5.5,5.25,2.25,4.25,5,4.5,3.75,4.666666667,4.75,5.25,5.25,5.25,4.75,4.75
49,97,1,5,7,7,6,6,6,6,7,6,6,4,4,5,6,5,5,6,6,6,5,5,5,6,5,6,5,6,4,3,3,4,5,5,4,5,6,6,6,4,5,5,5,5.75,5.75,6.5,5.5,5.5,5.75,5.5,5.25,4,4.25,5.75,5,5.75,4.25,5,5.5,3.75,5.75,6.5,3.75,5.25,5.25,5.75,5.25,5.75,2.75,2,5.75,4.25,3.25,3.5,5.5,5.25,5.5,5.25,5.25,3.5,5
50,99,1,7,7,7,7,7,7,7,7,7,7,4,4,7,6,7,4,6,4,6,6,6,6,6,6,4,5,7,4,2,4,7,6,2,7,7,7,7,7,7,7,6.25,6.5,6.5,6.75,6,5.75,5.5,6.5,5.75,6,4.75,4,4.75,5.5,6.5,5.25,4.5,5,4.75,5.75,6,5.75,6,5,5.25,5,6.25,3,2.75,4.75,6.5,5,2.25,5.75,5.5,6,5.75,4.75,4.5,4
51,101,1,5,7,7,7,7,5,6,7,7,7,4,6,7,7,7,5,7,7,7,7,6,5,7,7,7,5,7,2,4,6,4,7,1,7,7,7,7,7,7,7,5.5,5.5,5.75,5.75,5,4.75,5.25,6,5.75,6.5,4.75,3.75,4.75,5.75,6.5,5.5,2.75,4.75,4.75,6,6.25,5,5.75,5.5,5.5,3.25,6,2.5,3.5,5.75,5,4.25,1.75,5.75,6,5.5,5.5,5.25,5.25,5.25
52,103,1,7,7,7,6,5,5,5,7,6,6,5,3,4,5,6,4,6,7,3,6,4,7,7,7,5,6,5,4,3,4,5,3,4,5,6,6,4,7,5,5,4.5,5.5,6.25,5.25,5.5,5,5.5,6.25,5.25,6.25,3.75,5,5.75,5,5.75,4,4,5,3.5,5.25,4,4.25,6.25,3,5,5.5,6,6.25,2.5,5.25,5,4,5.5,3.75,5.5,5.5,4.5,6,3.25,4.5
53,105,1,5,6,6,5,5,5,6,6,5,5,4,5,6,5,5,5,5,5,5,5,5,6,5,6,4,4,6,4,4,4,4,5,4,5,5,5,5,5,5,5,4,5,5.25,4.25,4,3.75,4.75,5.25,4.75,5,4.25,3.75,5,3.75,5,4.25,3.75,4,3.5,5,4.75,4.5,4.75,3.25,3.5,3.5,4.75,4.5,2.75,5,4,3.25,4.25,4,4.75,3.75,3.75,5.5,4.25,4.5
54,107,1,6,7,7,7,7,6,5,7,6,6,4,4,5,6,6,5,5,7,6,7,5,6,6,6,7,4,7,5,3,4,5,6,3,6,6,6,6,6,5,5,4.5,6,3.75,3.25,4.25,5.5,5.25,4,4.75,4.5,4.75,4.25,4.5,4.25,4.5,4.75,3.25,4.25,4,4.25,4.75,5.25,4.75,3.5,4.25,4.25,5,3.75,3.5,4.25,5,4.25,3.75,5.25,4.25,5,4.5,3.75,4.5,4.25
55,109,1,5,7,7,6,6,7,5,7,7,6,4,4,6,6,6,6,6,6,3,2,5,7,5,6,6,6,6,3,2,5,6,4,3,6,6,6,6,6,6,5,5.25,6.25,6,6,4.75,5.5,6.5,6.5,5.5,5.5,4,5.5,6.5,5.5,5.5,4,6,5.5,5,5,4.5,6.5,6,6.5,5,2.75,6.5,5.75,2.5,3.75,5,5.25,3.75,5,5,6,5.75,6,5.25,5.5
56,111,1,4,1,1,3,4,3,3,2,6,4,4,5,5,4,6,4,6,5,5,6,6,7,7,7,6,7,7,7,6,5,4,6,4,5,6,6,3,6,2,5,4.5,5.5,5.75,5.5,4,5.25,5.75,5.75,5,4.5,4.5,5.25,5.5,5.25,4.5,3.5,4.5,5.333333333,5.25,4.75,4.25,4.25,5,4,3.75,2.75,5,5.5,3.25,3,4.5,4.75,4.75,4.5,5,5,4.75,5,3.25,3.5
57,113,1,6,6,7,6,4,7,5,7,5,6,4,5,6,6,6,5,6,7,6,7,6,7,6,5,5,4,6,5,3,4,5,5,6,6,7,5,5,7,7,5,4.5,5.25,6,5,5,4.5,4.75,6,4.75,5,3.75,5,5.5,5.25,5,4.25,4.5,6,5.25,4.75,4.75,5.5,5.5,4.75,4.75,2.25,5.5,5.5,3.75,3.25,3.25,4.75,5,4.75,4.5,4.25,5.5,4.75,4.5,4.75
58,115,1,7,6,7,7,5,7,7,6,7,7,6,5,5,7,7,6,7,6,6,7,6,7,5,7,6,5,7,2,3,5,6,6,2,7,7,7,6,7,7,7,6.25,4.75,6.5,6,6,5.5,5.25,5.25,5.75,6.5,6.25,3.25,4.5,4.5,6.75,6.5,5.5,5,4.25,6.25,6,5,6.5,5.5,6,5.25,6.25,3.75,4,6.25,6.5,4.5,2.25,4.5,6,5.5,6.25,5.5,6.25,6.25
59,117,1,4,6,6,4,6,3,6,6,6,6,4,5,6,6,6,4,4,6,5,6,4,5,6,4,5,5,4,6,6,5,3,4,5,4,5,3,6,4,6,6,5.25,5.75,5.5,6.25,5,4.75,5.75,6,6,5.25,4.75,4,5.75,5.25,5.75,4.75,4,5.75,5.75,5.75,5,5,5.25,5,5.25,4.25,5.25,5.5,3.25,5,4.5,4.5,3.75,4.75,5.5,5.5,5.5,5.75,4.25,4.25
60,119,1,5,7,7,7,4,6,6,7,7,5,4,5,4,7,5,5,5,5,7,5,4,7,6,7,4,5,7,5,3,5,5,5,4,6,5,5,4,5,4,4,3.5,3.5,4.5,3.5,3.25,4,4.75,4.5,4,3.75,3,4.25,5,3.5,3.75,3.25,3,3,4,4.25,4,3.75,3.75,4,4.25,3,4.5,4,3.75,2.75,3.75,4.75,4.25,4.5,4.75,4.5,4.75,4.75,4.25,3.25
61,121,1,6,6,7,6,4,6,5,6,6,6,4,3,3,6,6,5,6,6,6,6,6,7,7,7,5,3,6,4,3,4,6,5,2,6,6,6,6,6,4,5,4.5,5.5,6,5,4.75,5.5,5,6.25,3.25,4.5,3.25,3.75,5.75,4.5,5.5,4,3,4.5,3.5,5.75,5.75,5.75,5.75,3.5,4.25,4.5,5.5,4.25,2.25,5,4.75,4.75,4,3.75,5.75,4.75,5,4,3,4
62,123,1,5,6,6,5,4,2,6,6,6,6,3,2,6,4,5,5,5,6,4,6,4,5,6,7,6,2,6,4,2,2,5,4,4,7,7,5,6,6,2,5,5.5,5.75,5.75,5.75,3.5,5.75,6.25,5.5,6,4.75,3.75,4.25,5.25,5,4.75,4.75,4.5,4.75,5.25,5.25,4,6.25,5,5.5,4.75,4,5.25,5.75,3,3.25,5.25,4.75,6,5.75,4.5,5.5,5.5,5.25,3.5,4.25
63,125,1,5,5,5,5,5,5,5,5,5,6,4,3,4,6,6,5,6,4,6,5,7,6,4,5,6,3,5,4,4,5,4,4,4,6,6,6,4,5,4,5,2.5,4,4.75,3.5,3.5,3.25,4.5,4.5,2.75,4,2.25,5,4.75,2.75,4.25,2.5,4.25,3.75,2.75,4.75,4,2.75,3.75,3,5,4,5,3.25,3.25,4.25,2.75,4.25,3.75,3.75,3.75,2.75,4.25,4.5,4,3.25
64,127,1,6,6,5,5,5,5,5,5,5,5,4,3,5,5,6,5,4,5,5,6,7,5,6,5,6,5,5,5,4,6,6,5,1,5,5,5,4,5,4,5,4.75,6,5.75,3.75,5,5.25,6.25,5,5.25,5.5,4,4.25,5.5,6.5,5.5,4,3,4,7,6,6.75,5.5,6.75,4.75,6.25,5,5.5,2.25,2.5,4.5,4.5,5.5,1.75,5.25,5.75,4.75,5.75,4.25,5,4.5
65,129,1,5,6,6,5,6,5,6,5,5,6,4,5,5,5,7,4,6,4,5,7,5,6,6,5,7,3,5,4,3,7,5,5,2,4,6,6,6,5,3,3,4,5.5,5.5,3,6.25,4.5,6,5.5,3.5,5.25,3.75,3.25,5.75,3.25,6,3.25,4,5,3.25,6.25,4.5,5.75,5.75,3.75,6.25,3,4.75,4.5,1.75,5.25,3.75,4.5,4.25,4.25,4.5,5,5.25,4.75,4,4.5
66,131,1,6,6,6,7,5,6,7,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,2,5,5,4,2,6,6,5,5,6,2,5,5,5.5,5.5,5.75,5.5,5.75,5.25,6,6,6.25,4.75,3.75,5.25,4.75,6.5,5.75,4.75,5.75,4.5,6.25,5.25,5,5.75,5,4.75,5.5,5.75,2.5,3,5.25,5,3.25,2.25,4.75,5.75,5,4.25,5,4,5
67,133,1,3,7,7,5,4,5,6,5,4,5,3,4,6,6,5,3,6,5,4,5,1,7,6,6,4,1,6,6,2,4,3,5,6,5,4,5,6,6,4,3,3.75,6,6.5,5.5,3.75,4.25,6.25,6,3.75,4.75,3.25,4.75,6.25,4,5.25,3,5.25,5.25,4.25,5.5,4.25,6,6.25,6,3.25,2.75,6.5,6.25,2.5,3.75,2.5,6.25,6.5,3.75,5.5,4.25,6.25,6,4.75,4.25
68,135,1,6,7,7,7,5,2,4,5,5,6,4,5,5,6,6,6,5,6,6,5,5,5,5,6,6,5,6,5,3,5,5,5,4,7,6,6,6,7,7,5,5,4.5,5.5,6,4.5,5,4.75,5.5,5,5,5,3.25,4.5,5,4.75,5,4.25,5.75,4.25,4.5,4.5,5.25,6.25,4.5,4.75,4.5,5.25,4,3.25,4.5,4.75,4.75,3.75,4,4.5,4.75,4.75,4.5,4.75,4.5
69,137,1,6,6,7,6,6,7,6,6,6,6,6,3,6,7,7,5,6,6,7,7,6,6,6,6,6,2,6,3,3,5,5,5,3,6,6,6,6,6,6,5,5.75,6.25,5.75,5.75,6,6.25,5.75,6.25,5.5,6,5.25,3.25,5.5,4.25,6,5.25,5.25,5.5,3.75,5.75,5,5.25,6.25,4.75,5.5,4.5,5.5,5.25,2.25,5.25,4.5,5,3,5,5.75,6,5.25,5.25,3.75,4.5
70,139,1,6,7,7,6,6,7,6,7,7,7,4,5,6,6,7,5,6,7,5,6,4,6,7,6,5,4,7,4,4,6,6,6,4,4,6,7,5,7,6,6,6.5,5.25,5.5,5.5,5,5.5,4.5,5.5,5.5,5.75,4.75,3,4.75,4.75,6,5,3.25,5,4,5.25,5,4.5,6,4,4.5,5.5,5,5.25,3.5,5,5.25,4.25,5,5,5.75,5.75,4.75,5.25,3.75,5
71,141,1,6,7,6,5,5,6,5,6,6,5,4,5,5,6,5,5,6,5,6,7,7,6,6,6,6,4,7,2,2,6,5,4,3,6,7,6,5,6,4,3,4.75,4.75,5.25,5.5,4,5.5,5,5.75,3.75,4.75,4,3.25,4.75,4.75,5.75,4.75,4.75,5,5,6,4.5,5.5,5,5.25,5.25,4.5,5,2.5,3,5.75,4,3,2.75,6,5.25,5,4.75,5.5,4.25,4.5
