CIN,PIN,sex,pref.active,pref.warm,pref.reliable,pref.emo.unstable,pref.cultured,pref.unenergetic,pref.unagreeable,pref.conscientious,pref.insecure,pref.knowledgeable,pref.submissive,pref.lenient,pref.careful,pref.nervous,pref.intelligent,pref.bold,pref.stubborn,pref.well.organized,pref.relaxed,pref.imperceptive,pref.independent,pref.suspicious,pref.lazy,pref.temperamental,pref.creative,pref.humble,pref.fair,pref.untraditional,pref.unemotional,pref.complex,pref.talkative,pref.selfish,pref.conservative,pref.jealous,pref.uncurious,pref.retiring,pref.generous,pref.impractical,pref.objective,pref.unanalytical,active.comp,warm.comp,reliable.comp,emo.unstable.comp,cultured.comp,unenergetic.comp,unagreeable.comp,conscientious.comp,insecure.comp,knowledgeable.comp,submissive.comp,lenient.comp,careful.comp,nervous.comp,intelligent.comp,bold.comp,stubborn.comp,well.organized.comp,relaxed.comp,imperceptive.comp,independent.comp,suspicious.comp,lazy.comp,temperamental.comp,creative.comp,humble.comp,fair.comp,untraditional.comp,unemotional.comp,complex.comp,talkative.comp,selfish.comp,conservative.comp,jealous.comp,uncurious.comp,retiring.comp,generous.comp,impractical.comp,objective.comp,unanalytical.comp
90,180,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,182,0,6,6,6,7,5,6,6,7,7,5,3,5,6,6,6,5,6,6,6,7,7,7,6,6,5,6,6,6,3,3,5,6,6,3,7,6,6,6,6,6,4.25,6,6.5,6.5,3.75,4.25,6,6.25,6.25,4.5,3.75,5,5.75,5.75,5,4.75,4.75,5,6.25,4.75,4.75,6,6.25,5.5,4,3,6,6,3.25,3.25,4.25,4.75,5.5,5.25,4,5,5.5,5.25,4.25,3.75
92,184,0,6,5,6,6,4,6,6,5,7,6,5,4,4,7,7,6,4,4,5,6,6,5,6,4,4,5,5,4,4,5,4,4,3,6,5,6,4,4,5,4,4.5,5,5.75,6,5.5,4.75,5,5.75,5.25,5.5,5,4.25,5.25,4.75,5.5,5,4,4.75,4.75,5.25,5,5.75,5.5,4.5,4.25,4.25,5.75,5.75,4.25,4.75,4.25,4.25,4,5.75,4.5,4.5,5.25,5.5,4.5,5
93,186,0,6,6,5,7,6,6,6,6,6,6,6,6,4,6,6,5,2,6,3,4,6,7,7,6,7,6,7,7,2,4,6,5,4,4,6,6,6,7,4,4,4.25,3.5,4,4,4.25,4.25,3.5,3.25,4.25,3.75,4.75,5.5,3.25,5,4.75,4.75,4.25,3,3.25,3.5,5.25,4.75,4,3.75,3.75,4.5,4.5,4.25,4.75,3.25,4.5,3.75,4,3.5,3.75,4.5,4.25,3.75,4,3
94,188,0,5,7,7,7,5,6,6,6,7,6,5,5,5,6,7,5,6,7,6,6,6,7,6,6,6,4,6,3,3,3,4,6,3,5,5,5,6,6,6,5,5.25,6.5,6.75,6,4.75,5.5,6.25,6.5,5.75,5.75,4.75,3.75,5.75,6.25,5,5.25,6.5,5.5,6.25,5,4.25,6.75,5.75,6.25,5,5.25,6.25,5,3,4,5,5,4.5,4.75,5.25,5.75,4.75,5.5,5,3.75
95,190,0,6,6,6,7,7,7,4,6,6,6,5,4,7,7,7,5,7,7,7,7,5,6,7,7,7,7,7,7,3,5,5,6,2,5,6,6,6,6,6,7,3.75,5.5,5.25,4.25,5.5,4.5,4.5,5.25,4.25,6,3.5,3.5,5,3.25,5.75,3.25,4.5,4.75,3.5,4.75,4.25,3.75,4.75,4.5,5,4.25,4.75,4,3.25,5,3.5,4,4,3.5,5.5,5,4.25,4.75,4.25,5
96,192,0,5,7,6,5,5,2,6,6,6,7,4,6,6,6,7,4,7,5,6,7,7,6,7,7,7,4,7,2,3,5,5,6,3,7,6,6,6,6,3,6,5,5.5,5.75,5.25,5,5,5.75,5.5,5.25,6,4.25,3.5,5.75,5,6.25,4.5,5,5.5,4.5,5.666666667,5,6,5.75,4.75,4.25,4.5,5.25,4.25,4.25,4.75,5.5,4.25,4.25,4.75,6,5.75,5.25,5.5,5.5,6.25
97,194,0,6,7,7,7,6,7,7,6,7,7,6,5,6,7,7,6,7,7,5,7,4,6,7,7,5,6,7,7,2,3,4,6,6,4,6,6,6,6,4,5,4.25,6.5,6.5,6,5.5,4.25,5.75,6.25,6,6.25,4.25,4.75,6.25,6.25,6.75,5.25,5.5,4.5,5.5,6.5,4.5,6.25,6.75,5.5,4.75,4.25,6.5,5.75,4,6,5,5,5.25,4,5.5,6.25,6,6.25,4.25,5.5
98,196,0,5,6,6,7,6,6,6,6,7,7,4,4,6,6,6,5,6,5,6,6,6,7,6,6,5,5,6,5,3,3,4,6,4,6,6,6,6,6,6,5,4,5.25,5.5,5.5,4.75,5.25,5.25,6,5.75,5.5,4.75,3.5,5.5,5.25,5.75,4,5,6,5.5,5,5.5,3.75,5.5,4.25,4.5,4,5.75,4.75,3.75,4.5,4.75,3.75,4.75,4,5,4.5,3,5,5,5
99,198,0,6,7,6,7,6,7,6,7,7,7,4,4,6,7,6,4,7,6,5,6,4,7,7,6,5,4,6,6,2,4,6,6,4,5,5,6,6,5,5,4,3.5,4.5,4,4,3,3.5,4,3.5,5,3,5.5,3.5,3.5,4,3,4,3,3,4.5,3,3.5,4.5,3,4,2,4,4,5.5,4.5,2.5,3,3,6,4,3,4,3.5,6,4.5,3.5
